User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
14733363,0,68,190.0,94.0,29.0,105.0,40.8,218.05328
14861698,1,20,166.0,60.0,14.0,94.0,40.3,77.89242
11179863,0,69,179.0,79.0,5.0,88.0,38.7,18.630444
16180408,1,34,179.0,71.0,13.0,100.0,40.5,102.39499
17771927,1,27,154.0,58.0,10.0,81.0,39.8,30.263145
15130815,1,36,151.0,50.0,23.0,96.0,40.7,121.39701
19602372,1,33,158.0,56.0,22.0,95.0,40.5,91.88435
11117088,0,41,175.0,85.0,25.0,100.0,40.7,128.57182
12132339,0,60,186.0,94.0,21.0,97.0,40.4,110.89547
17964668,1,26,146.0,51.0,16.0,90.0,40.2,71.79857
13723164,1,36,177.0,76.0,1.0,74.0,37.8,2.9368265
13681290,1,21,157.0,56.0,17.0,100.0,40.0,78.44771
15566424,0,66,171.0,79.0,11.0,90.0,40.0,65.06607
12891699,1,32,157.0,54.0,18.0,93.0,40.4,84.01911
13823829,0,53,182.0,85.0,2.0,82.0,38.1,7.988408
17557348,1,39,156.0,62.0,28.0,104.0,40.8,158.80974
12198133,0,39,182.0,82.0,4.0,82.0,38.6,8.958932
15236104,0,46,169.0,67.0,11.0,89.0,40.2,53.96991
11042324,1,27,171.0,65.0,4.0,85.0,38.6,11.413832
16864285,0,50,188.0,86.0,14.0,94.0,40.2,85.39564
11674347,0,67,189.0,93.0,8.0,77.0,39.2,22.922638
19797300,1,31,148.0,50.0,8.0,84.0,39.5,26.786291
14711095,1,33,157.0,60.0,3.0,80.0,38.7,11.051519
14434854,1,20,165.0,59.0,29.0,100.0,41.0,143.95322
14893804,0,48,182.0,85.0,1.0,80.0,37.7,2.5657156
17231597,0,29,176.0,75.0,10.0,83.0,39.7,21.961243
10901446,0,33,173.0,73.0,7.0,78.0,39.3,10.616325
15874362,0,42,190.0,88.0,3.0,83.0,38.9,15.333057
15569252,1,62,159.0,59.0,29.0,106.0,41.2,192.56789
15615743,0,38,171.0,75.0,2.0,81.0,38.2,4.7561445
13363046,0,20,183.0,88.0,16.0,97.0,40.5,81.02953
17572853,1,25,160.0,59.0,24.0,102.0,40.3,107.924965
17157339,1,24,165.0,59.0,18.0,91.0,40.2,64.586426
18328111,1,42,165.0,68.0,22.0,93.0,40.8,100.83162
19303479,0,22,182.0,84.0,29.0,114.0,41.0,197.27876
10699201,1,74,158.0,59.0,10.0,93.0,39.6,56.188313
15283313,1,70,154.0,59.0,10.0,88.0,40.0,57.49977
16324247,1,26,182.0,80.0,21.0,96.0,40.5,92.96356
14277710,0,44,184.0,86.0,25.0,114.0,40.8,220.40657
10888188,0,61,183.0,86.0,1.0,81.0,38.3,9.042531
13379795,1,68,157.0,57.0,13.0,92.0,40.1,69.71945
17181524,1,61,176.0,70.0,20.0,104.0,40.5,143.88971
15988442,0,63,179.0,80.0,25.0,108.0,40.8,206.63861
19538533,1,54,171.0,66.0,20.0,98.0,40.1,85.4454
14591877,1,54,169.0,66.0,3.0,80.0,38.9,16.328592
14274480,1,47,155.0,55.0,16.0,93.0,40.5,88.41879
16818429,0,33,184.0,86.0,8.0,86.0,39.9,37.4413
17476522,1,24,171.0,66.0,24.0,105.0,40.6,141.4676
16369885,0,24,195.0,98.0,20.0,96.0,40.6,90.23523
17816292,0,48,152.0,59.0,2.0,79.0,38.0,2.643252
15995398,0,35,193.0,93.0,10.0,83.0,39.7,27.387041
17615432,0,21,168.0,71.0,3.0,78.0,38.5,2.336778
10146087,1,21,179.0,73.0,9.0,90.0,39.6,37.55254
17967445,1,22,158.0,62.0,25.0,105.0,40.6,143.07805
19670291,1,69,174.0,69.0,2.0,80.0,38.1,6.721596
10580576,0,53,191.0,101.0,21.0,106.0,40.7,180.30107
15854213,1,68,155.0,58.0,15.0,100.0,40.3,104.31844
11138472,1,69,164.0,65.0,23.0,113.0,40.4,170.28667
18276801,0,28,198.0,101.0,19.0,95.0,40.6,88.17385
13823902,0,70,188.0,89.0,7.0,82.0,39.3,30.35195
19222133,1,36,170.0,64.0,9.0,84.0,39.6,28.133888
13231909,1,77,177.0,80.0,16.0,98.0,40.6,120.35676
12726617,1,32,167.0,63.0,9.0,99.0,39.7,61.29425
12538968,1,62,185.0,77.0,13.0,84.0,40.4,57.67014
10941668,1,64,151.0,56.0,20.0,97.0,40.4,115.2023
12628985,0,45,175.0,79.0,27.0,104.0,40.6,157.20563
17691320,0,45,158.0,61.0,20.0,97.0,40.7,114.718025
17822027,1,22,177.0,71.0,10.0,93.0,39.8,47.8265
13777657,0,45,169.0,69.0,22.0,113.0,40.6,203.32211
19423359,1,66,174.0,69.0,28.0,111.0,40.9,194.35376
14701930,0,31,182.0,83.0,20.0,101.0,40.9,136.33646
11513205,1,57,163.0,68.0,29.0,109.0,40.7,182.13889
11842710,0,53,192.0,93.0,5.0,90.0,39.1,28.299614
12576313,1,22,179.0,67.0,8.0,77.0,39.5,16.764954
12367125,0,67,192.0,92.0,24.0,108.0,40.7,213.1679
16913504,1,27,168.0,64.0,2.0,76.0,38.2,6.505916
19439155,0,57,178.0,83.0,2.0,79.0,38.1,6.68503
16137644,1,49,168.0,68.0,20.0,99.0,40.6,128.77266
11622081,1,39,168.0,63.0,29.0,108.0,40.7,168.52643
17374074,0,47,165.0,72.0,20.0,96.0,40.3,88.06665
19096890,0,62,197.0,101.0,17.0,103.0,40.3,141.96187
19628507,0,41,187.0,89.0,23.0,99.0,40.7,125.15054
16918679,1,34,144.0,50.0,7.0,83.0,39.3,24.409466
11194130,1,40,163.0,62.0,27.0,111.0,41.2,188.50485
18863486,1,55,155.0,57.0,11.0,92.0,39.8,48.232353
11754581,0,44,189.0,88.0,13.0,94.0,40.0,61.54266
15161631,1,45,160.0,60.0,16.0,99.0,40.4,106.72026
18735761,1,49,164.0,64.0,19.0,105.0,40.4,132.60849
15878611,1,46,166.0,68.0,12.0,101.0,40.1,87.45171
19249559,0,25,202.0,100.0,9.0,94.0,39.8,46.70971
15469030,0,68,171.0,80.0,22.0,95.0,40.5,117.38549
11157560,1,25,169.0,64.0,14.0,101.0,40.2,88.827286
19576971,1,31,174.0,67.0,9.0,93.0,39.5,39.8708
15048071,0,57,184.0,91.0,7.0,95.0,39.2,38.875786
18707469,1,27,159.0,59.0,14.0,88.0,39.9,45.72795
12598637,0,40,201.0,98.0,24.0,110.0,40.7,182.87444
14342169,1,57,171.0,74.0,2.0,73.0,38.6,7.75698
19208771,1,23,155.0,62.0,5.0,74.0,39.2,12.787217
11790318,0,23,189.0,87.0,23.0,110.0,40.0,140.1285
11756583,0,43,183.0,88.0,26.0,107.0,40.7,176.42058
16417986,0,74,201.0,107.0,14.0,96.0,40.1,106.00246
13065142,1,45,158.0,53.0,23.0,106.0,40.7,158.90752
10481882,1,31,165.0,60.0,25.0,115.0,40.8,193.41829
19521409,0,21,195.0,93.0,6.0,93.0,39.2,22.822292
15862346,0,50,190.0,96.0,3.0,80.0,38.3,9.241014
12234447,0,39,175.0,74.0,9.0,93.0,39.5,36.510338
14624633,0,57,169.0,81.0,30.0,112.0,40.9,231.02528
17074274,1,26,159.0,53.0,19.0,92.0,40.5,82.07602
17636190,0,34,181.0,83.0,25.0,102.0,40.9,141.80055
14345479,1,55,160.0,62.0,4.0,87.0,39.1,23.871166
11772472,1,52,171.0,67.0,15.0,89.0,40.6,80.6325
19087162,0,21,188.0,90.0,29.0,110.0,40.8,156.9109
15875055,1,20,136.0,45.0,11.0,94.0,40.1,53.49861
10939512,1,79,152.0,60.0,29.0,107.0,40.8,202.77759
13616455,0,21,189.0,91.0,27.0,114.0,41.0,193.60397
19118405,0,50,171.0,74.0,2.0,82.0,38.1,5.665924
10503799,1,29,180.0,76.0,12.0,97.0,39.9,63.800014
16572590,0,22,194.0,92.0,6.0,92.0,39.0,18.584654
17336010,1,28,158.0,60.0,27.0,113.0,40.8,187.3462
15483091,0,38,188.0,93.0,28.0,104.0,40.9,159.4384
10006441,0,23,169.0,73.0,25.0,102.0,40.7,116.22596
13075455,1,68,159.0,68.0,24.0,108.0,40.5,163.74284
17564519,0,79,176.0,86.0,20.0,102.0,40.1,149.7067
18789619,1,35,182.0,70.0,2.0,83.0,38.4,9.006168
15444304,0,67,201.0,96.0,18.0,105.0,40.5,154.37459
13122354,1,21,156.0,52.0,12.0,82.0,39.8,29.583073
10692173,1,44,143.0,49.0,17.0,92.0,40.2,82.04301
12890276,1,43,175.0,72.0,23.0,100.0,40.7,126.40638
14339451,0,21,186.0,79.0,29.0,111.0,41.0,182.63538
16626118,1,32,170.0,70.0,10.0,98.0,39.7,53.851357
17268858,0,79,179.0,91.0,27.0,107.0,40.4,216.89485
13816658,0,51,192.0,96.0,19.0,97.0,40.6,127.055214
14191617,1,60,174.0,67.0,11.0,99.0,39.7,61.815582
13672975,0,49,184.0,86.0,26.0,103.0,40.8,156.96927
16361679,0,46,179.0,84.0,6.0,82.0,39.2,20.136791
17739883,1,35,149.0,54.0,21.0,111.0,40.5,167.3585
19341462,0,31,172.0,76.0,9.0,94.0,39.7,43.014908
14117537,0,42,185.0,78.0,26.0,110.0,41.4,190.87914
12667831,1,66,174.0,69.0,13.0,87.0,39.8,50.644714
10661999,0,52,189.0,90.0,22.0,96.0,40.5,109.79647
